time,open,high,low,close,count,avg,upArrow2,dnArrow2,upArrow2r,dnArrow2r
2024-07-17 10:41:00,2.35,2.45,2.33,2.45,0.0,0.0,True,False,True,False
2024-07-17 10:44:00,2.37,2.6,2.35,2.58,0.0,0.0,True,False,True,False
2024-07-17 10:46:00,2.55,2.6,2.47,2.57,0.0,0.0,True,False,True,False
2024-07-17 10:50:00,2.25,2.32,2.15,2.17,0.0,0.0,False,True,False,True
2024-07-17 10:54:00,2.18,2.18,2.08,2.1,0.0,0.0,False,True,False,True
2024-07-17 11:04:00,2.28,2.38,2.28,2.33,0.0,0.0,True,False,True,False
2024-07-17 11:07:00,2.17,2.33,2.17,2.19,0.0,0.0,False,True,False,True
2024-07-17 11:09:00,2.23,2.29,2.14,2.29,0.0,0.0,True,False,True,False
2024-07-17 11:11:00,2.3,2.38,2.27,2.36,0.0,0.0,True,False,True,False
2024-07-17 11:17:00,2.18,2.18,2.14,2.17,0.0,0.0,False,True,False,True
2024-07-17 11:21:00,2.22,2.22,2.16,2.18,0.0,0.0,False,True,False,True
2024-07-17 11:23:00,2.29,2.44,2.26,2.43,0.0,0.0,True,False,True,False
2024-07-17 11:26:00,2.29,2.3,2.2,2.2,0.0,0.0,False,True,False,True
2024-07-17 11:29:00,2.25,2.35,2.25,2.3,0.0,0.0,True,False,True,False
2024-07-17 11:31:00,2.35,2.37,2.27,2.34,0.0,0.0,True,False,True,False
2024-07-17 11:35:00,2.26,2.44,2.26,2.39,0.0,0.0,True,False,True,False
2024-07-17 11:39:00,2.23,2.23,2.17,2.18,0.0,0.0,False,True,False,True
2024-07-17 11:41:00,2.17,2.19,2.08,2.08,0.0,0.0,False,True,False,True
2024-07-17 11:43:00,2.01,2.03,1.93,1.94,0.0,0.0,False,True,False,True
2024-07-17 11:50:00,1.99,2.0,1.91,1.92,0.0,0.0,False,True,False,True
2024-07-17 11:53:00,1.93,2.01,1.89,1.89,0.0,0.0,False,True,False,True
2024-07-17 11:55:00,1.98,2.03,1.97,1.98,0.0,0.0,True,False,True,False
2024-07-17 12:00:00,2.01,2.06,2.01,2.06,0.0,0.0,True,False,True,False
2024-07-17 12:06:00,2.02,2.05,1.96,1.96,0.0,0.0,False,True,False,True
2024-07-17 12:08:00,1.98,1.99,1.92,1.95,0.0,0.0,False,True,False,True
2024-07-17 12:10:00,1.93,1.93,1.86,1.86,0.0,0.0,False,True,False,True
2024-07-17 12:14:00,1.83,1.84,1.8,1.81,0.0,0.0,False,True,False,True
2024-07-17 12:16:00,1.77,1.78,1.73,1.74,0.0,0.0,False,True,False,True
2024-07-17 12:23:00,1.78,1.78,1.74,1.76,0.0,0.0,False,True,False,True
2024-07-17 12:26:00,1.73,1.75,1.62,1.64,0.0,0.0,False,True,False,True
2024-07-17 12:29:00,1.64,1.64,1.53,1.54,0.0,0.0,False,True,False,True
2024-07-17 12:31:00,1.62,1.7,1.58,1.59,0.0,0.0,False,True,False,True
2024-07-17 12:35:00,1.56,1.62,1.54,1.54,0.0,0.0,False,True,False,True
2024-07-17 12:41:00,1.55,1.55,1.42,1.43,0.0,0.0,False,True,False,True
2024-07-17 12:45:00,1.46,1.5,1.36,1.37,0.0,0.0,False,True,False,True
2024-07-17 12:50:00,1.36,1.38,1.3,1.35,0.0,0.0,False,True,False,True
2024-07-17 13:18:00,1.64,1.72,1.63,1.7,0.0,0.0,True,False,True,False
2024-07-17 13:21:00,1.7,1.75,1.66,1.74,0.0,0.0,True,False,True,False
2024-07-17 13:25:00,1.74,1.75,1.66,1.66,0.0,0.0,False,True,False,True
2024-07-17 13:27:00,1.68,1.68,1.6,1.62,0.0,0.0,False,True,False,True
2024-07-17 13:31:00,1.69,1.77,1.69,1.77,0.0,0.0,True,False,True,False
2024-07-17 13:33:00,1.85,1.87,1.8,1.86,0.0,0.0,True,False,True,False
2024-07-17 13:44:00,1.77,1.79,1.7,1.72,0.0,0.0,False,True,False,True
2024-07-17 13:46:00,1.75,1.75,1.71,1.74,0.0,0.0,False,True,False,True
2024-07-17 13:49:00,1.79,1.85,1.77,1.84,0.0,0.0,True,False,True,False
