time,open,high,low,close,Volume,count,avg,upArrow2,dnArrow2,upArrow2r,dnArrow2r
2023-07-13 11:40:00,376.92,377.17,376.88,377.05,73209,6,3.60520813206851,True,False,True,False
2023-07-17 14:15:00,382.0,382.16,381.98,382.12,50888,4,3.980009023196064,True,False,True,False
2023-07-19 10:40:00,386.83,387.54,386.73,387.38,134064,6,3.2138221087459495,True,False,True,False
2023-07-20 10:30:00,380.7,380.7,379.62,379.8,261123,-8,-4.123230184817886,False,True,False,True
2023-07-24 09:50:00,376.13,376.17,374.37,374.44,241150,-2,-0.3351182728126383,False,True,False,True
2023-07-25 14:40:00,380.19,380.42,380.03,380.42,32456,4,3.998734817224544,True,False,True,False
2023-07-27 09:30:00,383.07,383.75,382.78,383.5,444652,6,1.0813799177388188,True,False,True,False
2023-07-27 14:55:00,377.08,377.08,376.17,376.17,192182,-8,-6.757413563542265,False,True,False,True
2023-08-02 09:30:00,379.26,379.26,378.18,378.25,370337,-6,-1.4620611641941523,False,True,False,True
2023-08-08 09:45:00,371.49,371.49,370.37,370.42,203206,-4,-1.0251487210265624,False,True,False,True
2023-08-10 09:45:00,371.52,373.04,371.52,372.85,270176,4,0.9792098578355584,True,False,True,False
2023-08-11 11:30:00,365.175,365.42,364.69,364.77,154461,-8,-5.287013252671698,False,True,False,True
2023-08-14 15:55:00,369.73,370.47,369.7,370.46,456877,6,0.7100611799486722,True,False,True,False
2023-08-16 13:05:00,364.48,364.64,363.8,363.89,89707,-8,-4.976158857292866,False,True,False,True
2023-08-17 15:10:00,358.925,358.99,358.51,358.61,229562,-10,-6.488540224889506,False,True,False,True
2023-08-21 09:55:00,361.2,362.15,361.15,362.15,150494,4,4.095535571356649,True,False,False,False
2023-08-23 09:45:00,365.03,366.0,364.91,365.69,201203,4,1.0318110050892917,True,False,True,False
2023-08-24 11:30:00,364.9,364.93,364.41,364.46,92801,-6,-4.502907178371571,False,True,False,True
2023-08-28 09:30:00,366.99,367.41,366.1,367.12,287709,10,4.983534507820438,True,False,True,False
2023-08-29 10:10:00,370.23,370.76,369.98,370.6,180280,8,5.557022274676623,True,False,True,False
2023-08-31 09:30:00,376.94,378.42,376.87,377.53,237762,6,0.04659217225297119,True,False,True,False
2023-09-06 10:00:00,376.89,376.9,375.09,375.14,323390,-6,-1.9877094246794709,False,True,False,True
2023-09-11 09:30:00,375.66,376.3,375.5,375.89,243786,4,-2.262459511478287,True,False,True,False
2023-09-13 10:15:00,372.36,372.38,371.89,372.18,120397,-2,-1.358036026435299,False,True,False,True
2023-09-15 10:05:00,373.52,373.85,372.91,373.05,176238,-4,-3.0454526379897082,False,True,False,True
2023-09-19 09:50:00,369.12,369.12,368.34,368.6,128544,-8,-4.293474089813002,False,True,False,True
2023-09-20 15:30:00,367.0,367.09,365.67,365.77,256529,-6,-2.899142300890551,False,True,False,True
2023-09-22 15:50:00,358.45,358.45,357.59,357.76,351318,-4,-1.3596733829001502,False,True,False,True
2023-09-26 13:40:00,354.44,354.48,354.19,354.3,89502,-6,-2.8761612427671137,False,True,False,True
2023-09-28 11:25:00,357.09,357.315,356.9,357.31,146807,4,1.9773624105200347,True,False,True,False
2023-10-02 11:15:00,361.23,361.77,361.21,361.7,160093,8,3.441337846074026,True,False,True,False
2023-10-03 11:50:00,355.1,355.33,354.775,354.78,96347,-4,-4.105690366335404,False,True,False,False
2023-10-04 15:15:00,359.42,359.97,359.36,359.71,174938,4,0.13316666982693215,True,False,True,False
